id,name,type,region,country
1,Sakura Travel Group,Agency,Asia-Pacific,Japan
2,Alpine Adventures GmbH,Agency,Europe,Germany
3,Pacific Coast Tours,Agency,North America,USA
4,Voyages Lumiere,Agency,Europe,France
5,Gulf Luxury Travel,Corporate,Middle East,UAE
6,Southern Cross Holidays,Agency,Oceania,Australia
7,Beijing Star International,Agency,Asia-Pacific,China
8,Nordic Explorers AB,Agency,Europe,Sweden
9,Maple Leaf Journeys,Agency,North America,Canada
10,Seoul Wanderers Co.,Agency,Asia-Pacific,South Korea
11,Roma Viaggi SRL,Agency,Europe,Italy
12,Kiwi Adventures Ltd,Agency,Oceania,New Zealand
13,Direct Client - Walk-in,Individual,Europe,France
14,Direct Client - Web,Individual,North America,USA
15,Horizon Corp Events,Corporate,Europe,UK
16,Mumbai Getaways Pvt,Agency,Asia-Pacific,India
17,Andalucia Sun Tours,Agency,Europe,Spain
18,Thai Smile Holidays,Agency,Asia-Pacific,Thailand
19,Amazon Corp Travel,Corporate,North America,USA
20,Swiss Premium Tours,Agency,Europe,Switzerland
