title,studio,budget_per_episode_thousands,filler_percentage,production_model,avg_score
Bleach TYBW,Pierrot,380,0,Seasonal,8.99
Jujutsu Kaisen S2,MAPPA,420,5,Seasonal,9.08
Demon Slayer,ufotable,450,2,Seasonal,8.95
Chainsaw Man,MAPPA,400,0,Seasonal,8.64
Attack on Titan,MAPPA,350,8,Seasonal,9.16
Naruto Shippuden,Pierrot,180,41,Continuous,8.28
Boruto,Pierrot,150,42,Continuous,5.98
Black Clover,Pierrot,160,35,Continuous,8.16
My Hero Academia,Bones,200,18,Mixed,7.86
Tokyo Ghoul,Pierrot,140,15,Seasonal,7.80
