year,title,studio,revenue_millions,revenue_profile
2020,Naruto Shippuden,Pierrot,42,LegacyEvergreen
2021,Naruto Shippuden,Pierrot,39,LegacyEvergreen
2022,Naruto Shippuden,Pierrot,37,LegacyEvergreen
2023,Naruto Shippuden,Pierrot,35,LegacyEvergreen
2024,Naruto Shippuden,Pierrot,34,LegacyEvergreen
2020,Jujutsu Kaisen,MAPPA,20,RecentHit
2021,Jujutsu Kaisen,MAPPA,32,RecentHit
2022,Jujutsu Kaisen,MAPPA,45,RecentHit
2023,Jujutsu Kaisen,MAPPA,48,RecentHit
2024,Jujutsu Kaisen,MAPPA,40,RecentHit
2020,Demon Slayer,ufotable,38,RecentHit
2021,Demon Slayer,ufotable,52,RecentHit
2022,Demon Slayer,ufotable,50,RecentHit
2023,Demon Slayer,ufotable,46,RecentHit
2024,Demon Slayer,ufotable,44,RecentHit
2020,Bleach TYBW,Pierrot,0,RevivalHit
2021,Bleach TYBW,Pierrot,0,RevivalHit
2022,Bleach TYBW,Pierrot,18,RevivalHit
2023,Bleach TYBW,Pierrot,28,RevivalHit
2024,Bleach TYBW,Pierrot,32,RevivalHit
2020,Boruto,Pierrot,14,LongRun
2021,Boruto,Pierrot,13,LongRun
2022,Boruto,Pierrot,11,LongRun
2023,Boruto,Pierrot,10,LongRun
2024,Boruto,Pierrot,9,LongRun
2020,Black Clover,Pierrot,16,LongRun
2021,Black Clover,Pierrot,15,LongRun
2022,Black Clover,Pierrot,14,LongRun
2023,Black Clover,Pierrot,14,LongRun
2024,Black Clover,Pierrot,13,LongRun
2020,Attack on Titan,MAPPA,35,LegacyEvergreen
2021,Attack on Titan,MAPPA,40,LegacyEvergreen
2022,Attack on Titan,MAPPA,38,LegacyEvergreen
2023,Attack on Titan,MAPPA,30,LegacyEvergreen
2024,Attack on Titan,MAPPA,22,LegacyEvergreen
